INFORME MAESTRO TITAN v39.3 (CEREBRO ESTRATEGA - 60 DIAS)
============================================================
Balance Inicial: $200.0
Balance Final: $-3473.18
Profit Neto: $-3673.18
Total Operaciones: 6040

RESUMEN DIARIO:
FECHA      | PROFIT | TRADES | BALANCE
--------------------------------------------------
2025-12-29 |  -77.93 |     14 |   122.07
2025-12-30 | -213.10 |     38 |   -91.02
2025-12-31 | -184.81 |     36 |  -275.83
2026-01-01 |  129.16 |     48 |  -146.67
2026-01-02 | -198.36 |     48 |  -345.03
2026-01-04 |   60.20 |     26 |  -284.83
2026-01-05 |  724.99 |    252 |   440.16
2026-01-06 |  -41.28 |     10 |   398.88
2026-01-07 |  -61.79 |     50 |   337.08
2026-01-08 | -224.28 |     22 |   112.81
2026-01-09 |   68.30 |    184 |   181.10
2026-01-11 | -147.64 |     10 |    33.47
2026-01-12 |  427.92 |    362 |   461.38
2026-01-13 |  -68.50 |     46 |   392.88
2026-01-14 | -254.40 |     38 |   138.48
2026-01-15 |  -54.35 |     98 |    84.13
2026-01-16 |   -7.85 |     40 |    76.28
2026-01-18 |   32.00 |     10 |   108.28
2026-01-19 |   22.53 |     14 |   130.82
2026-01-20 |  794.07 |    322 |   924.88
2026-01-21 |  624.62 |    568 |  1549.50
2026-01-22 |  -25.16 |     36 |  1524.34
2026-01-23 |  128.51 |    370 |  1652.85
2026-01-25 | -536.71 |     10 |  1116.15
2026-01-26 |  -78.96 |    190 |  1037.19
2026-01-27 |  607.89 |    412 |  1645.08
2026-01-28 | -636.44 |     10 |  1008.64
2026-01-29 |  198.91 |    464 |  1207.54
2026-01-30 | -3077.69 |     10 | -1870.15
2026-02-01 |    5.59 |      2 | -1864.56
2026-02-02 |  -44.44 |      4 | -1909.00
2026-02-03 |  -98.76 |    316 | -2007.76
2026-02-04 | -179.95 |     40 | -2187.71
2026-02-05 |  -99.06 |     30 | -2286.77
2026-02-06 | -129.85 |     42 | -2416.61
2026-02-08 |  128.93 |     34 | -2287.69
2026-02-09 | -136.99 |     18 | -2424.67
2026-02-10 | -145.71 |    128 | -2570.39
2026-02-11 |  -84.84 |    232 | -2655.23
2026-02-12 | -113.72 |     96 | -2768.95
2026-02-13 |  -89.14 |     90 | -2858.08
2026-02-15 |   39.78 |     16 | -2818.30
2026-02-16 |  133.55 |    164 | -2684.75
2026-02-17 |  -58.83 |    244 | -2743.58
2026-02-18 | -126.08 |     48 | -2869.66
2026-02-19 | -241.51 |     22 | -3111.17
2026-02-20 |  -95.93 |    116 | -3207.10
2026-02-22 |  194.94 |     72 | -3012.16
2026-02-23 |  -92.13 |      8 | -3104.29
2026-02-24 |  375.93 |    390 | -2728.36
2026-02-25 | -630.67 |     10 | -3359.03
2026-02-26 | -114.16 |    180 | -3473.18
2026-02-27 |    0.00 |      0 | -3473.18
