INFORME ESTRATEGA TITAN v39.3 (CEREBRO PROTECTOR)
============================================================
Balance Final: $1226.96
Resultado Neto: $1026.96
Filtros Proteccion: Circuit Breaker -$40 / Anti-Cuchillo ON

FECHA      | PROFIT | TRADES | BALANCE
--------------------------------------------------
2025-12-29 |   19.21 |      8 |   219.21
2025-12-30 |   54.81 |     28 |   274.02
2025-12-31 |   57.68 |     28 |   331.70
2026-01-01 |    0.00 |      0 |   331.70
2026-01-02 |   73.33 |     30 |   405.02
2026-01-04 |   13.14 |      6 |   418.17
2026-01-05 |   -2.17 |     24 |   416.00
2026-01-06 |   72.30 |     20 |   488.30
2026-01-07 |   48.03 |     24 |   536.33
2026-01-08 |   79.50 |     24 |   615.84
2026-01-09 |   59.36 |     24 |   675.19
2026-01-11 |    0.00 |      0 |   675.19
2026-01-12 | -136.04 |     16 |   539.15
2026-01-13 | -104.58 |      8 |   434.57
2026-01-14 |  -29.75 |     10 |   404.82
2026-01-15 |   11.86 |     30 |   416.68
2026-01-16 |   44.72 |     28 |   461.40
2026-01-18 |    0.00 |      0 |   461.40
2026-01-19 |   31.10 |     16 |   492.50
2026-01-20 |   37.24 |     20 |   529.73
2026-01-21 |   28.00 |     34 |   557.73
2026-01-22 |   81.80 |     32 |   639.53
2026-01-23 |   38.79 |     16 |   678.32
2026-01-25 |  -98.01 |      2 |   580.31
2026-01-26 |   39.34 |     18 |   619.65
2026-01-27 |  222.41 |     16 |   842.06
2026-01-28 |   32.19 |     14 |   874.24
2026-01-29 |   10.57 |     18 |   884.81
2026-01-30 |    0.00 |      0 |   884.81
2026-02-01 |    0.00 |      0 |   884.81
2026-02-02 |   17.73 |      2 |   902.54
2026-02-03 |  -43.37 |      4 |   859.17
2026-02-04 |   39.14 |     12 |   898.31
2026-02-05 |    6.90 |      2 |   905.21
2026-02-06 |   41.50 |     10 |   946.71
2026-02-08 |    0.00 |      0 |   946.71
2026-02-09 |  -17.83 |     18 |   928.88
2026-02-10 |   90.54 |     24 |  1019.42
2026-02-11 |  111.77 |     26 |  1131.19
2026-02-12 |  -60.08 |     24 |  1071.11
2026-02-13 |  -40.37 |      6 |  1030.74
2026-02-15 |    0.00 |      0 |  1030.74
2026-02-16 |   39.98 |     18 |  1070.72
2026-02-17 |   54.63 |     16 |  1125.35
2026-02-18 |    5.43 |     18 |  1130.78
2026-02-19 |   34.95 |     28 |  1165.73
2026-02-20 |   68.17 |     20 |  1233.90
2026-02-22 |    0.00 |      0 |  1233.90
2026-02-23 |   69.13 |     30 |  1303.03
2026-02-24 |  -68.96 |     22 |  1234.08
2026-02-25 |   66.04 |     18 |  1300.12
2026-02-26 |  -73.16 |     18 |  1226.96
2026-02-27 |    0.00 |      0 |  1226.96
