CUADRO COMPARATIVO: CAZADOR (v39.2) vs PROTECTOR (v39.3)
======================================================================
FECHA      | BAL. CAZADOR | BAL. PROTECTOR | DIFERENCIA TACTICA
----------------------------------------------------------------------
2025-12-29 |       -27.51 |         200.00 |          227.51
2025-12-30 |       -27.51 |         200.00 |          227.51
2025-12-31 |       -27.51 |         200.00 |          227.51
2026-01-01 |       -27.51 |         200.00 |          227.51
2026-01-02 |       -27.51 |         200.00 |          227.51
2026-01-04 |       -27.51 |         200.00 |          227.51
2026-01-05 |       -27.51 |         200.00 |          227.51
2026-01-06 |       -27.51 |         200.00 |          227.51
2026-01-07 |       -27.51 |         200.00 |          227.51
2026-01-08 |       -27.51 |         200.00 |          227.51
2026-01-09 |       -27.51 |         200.00 |          227.51
2026-01-11 |       -27.51 |         200.00 |          227.51
2026-01-12 |       -27.51 |         200.00 |          227.51
2026-01-13 |       -27.51 |         200.00 |          227.51
2026-01-14 |       -27.51 |         200.00 |          227.51
2026-01-15 |       -27.51 |         200.00 |          227.51
2026-01-16 |       -27.51 |         200.00 |          227.51
2026-01-18 |       -27.51 |         200.00 |          227.51
2026-01-19 |       -27.51 |         200.00 |          227.51
2026-01-20 |       -27.51 |         200.00 |          227.51
2026-01-21 |       -27.51 |         200.00 |          227.51
2026-01-22 |       -27.51 |         200.00 |          227.51
2026-01-23 |       -27.51 |         200.00 |          227.51
2026-01-25 |       -27.51 |         200.00 |          227.51
2026-01-26 |       -27.51 |         200.00 |          227.51
2026-01-27 |       -27.51 |         200.00 |          227.51
2026-01-28 |       -27.51 |         200.00 |          227.51
2026-01-29 |       -27.51 |         200.00 |          227.51
2026-01-30 |       -27.51 |         200.00 |          227.51
2026-02-01 |       -27.51 |         200.00 |          227.51
2026-02-02 |       -27.51 |         200.00 |          227.51
2026-02-03 |       -27.51 |         200.00 |          227.51
2026-02-04 |       -27.51 |         200.00 |          227.51
2026-02-05 |       -27.51 |         200.00 |          227.51
2026-02-06 |       -27.51 |         200.00 |          227.51
2026-02-08 |       -27.51 |         200.00 |          227.51
2026-02-09 |       -27.51 |         200.00 |          227.51
2026-02-10 |       -27.51 |         200.00 |          227.51
2026-02-11 |       -27.51 |         200.00 |          227.51
2026-02-12 |       -27.51 |         200.00 |          227.51
2026-02-13 |       -27.51 |         200.00 |          227.51
2026-02-15 |       -27.51 |         200.00 |          227.51
2026-02-16 |       -27.51 |         200.00 |          227.51
2026-02-17 |       -27.51 |         200.00 |          227.51
2026-02-18 |       -27.51 |         200.00 |          227.51
2026-02-19 |       -27.51 |         200.00 |          227.51
2026-02-20 |       -27.51 |         200.00 |          227.51
2026-02-22 |       -27.51 |         200.00 |          227.51
2026-02-23 |       -27.51 |         200.00 |          227.51
2026-02-24 |       -27.51 |         200.00 |          227.51
2026-02-25 |       -27.51 |         200.00 |          227.51
2026-02-26 |       -27.51 |         200.00 |          227.51
